
1691984641179 :: funds :: None :: 1691984641429 :: {'s': 'ok', 'code': 200, 'message': '', 'fund_limit': [{'id': 3, 'title': 'Clear Balance', 'equityAmount': 4990.86, 'commodityAmount': 0}, {'id': 1, 'title': 'Total Balance', 'equityAmount': 4990.86, 'commodityAmount': 0}, {'id': 7, 'title': 'Receivables', 'equityAmount': 0, 'commodityAmount': 0}, {'id': 4, 'title': 'Realized Profit and Loss', 'equityAmount': 0, 'commodityAmount': 0}, {'id': 2, 'title': 'Utilized Amount', 'equityAmount': 0, 'commodityAmount': 0}, {'id': 5, 'title': 'Collaterals', 'equityAmount': 0, 'commodityAmount': 0}, {'id': 8, 'title': 'Adhoc Limit', 'equityAmount': 0, 'commodityAmount': 0}, {'id': 10, 'title': 'Available Balance', 'equityAmount': 4990.86, 'commodityAmount': 0}, {'id': 6, 'title': 'Fund Transfer', 'equityAmount': 0, 'commodityAmount': 0}, {'id': 9, 'title': 'Limit at start of the day', 'equityAmount': 4990.86, 'commodityAmount': 0}]}

1691984700680 :: place_order ::  :: 1691984700797 :: {'s': 'error', 'code': -391, 'message': 'Order Quantity should be in multiples of lot size.', 'id': ''}

1691984936400 :: positions ::  :: 1691984936627 :: {'s': 'ok', 'code': 200, 'message': '', 'netPositions': [{'symbol': 'NSE:BANKNIFTY2381744100PE', 'id': 'NSE:BANKNIFTY2381744100PE-INTRADAY', 'buyAvg': 289.25, 'buyQty': 15, 'buyVal': 4338.75, 'sellAvg': 297.15, 'sellQty': 15, 'sellVal': 4457.25, 'netAvg': 0, 'netQty': 0, 'side': 0, 'qty': 0, 'productType': 'INTRADAY', 'realized_profit': 118.49999999999966, 'crossCurrency': '', 'qtyMulti_com': 1, 'segment': 11, 'ltp': 316.75, 'fyToken': '101123081739016', 'exchange': 10, 'unrealized_profit': 0, 'dayBuyQty': 15, 'cfBuyQty': 0, 'daySellQty': 15, 'cfSellQty': 0, 'rbiRefRate': 1, 'pl': 118.49999999999966, 'slNo': 0, 'avgPrice': 0}], 'overall': {'count_open': 0, 'count_total': 1, 'pl_realized': 118.49999999999966, 'pl_total': 118.49999999999966, 'pl_unrealized': 0}}

1691985295228 :: positions ::  :: 1691985295477 :: {'s': 'ok', 'code': 200, 'message': '', 'netPositions': [{'symbol': 'NSE:BANKNIFTY2381744100PE', 'id': 'NSE:BANKNIFTY2381744100PE-INTRADAY', 'buyAvg': 289.25, 'buyQty': 15, 'buyVal': 4338.75, 'sellAvg': 297.15, 'sellQty': 15, 'sellVal': 4457.25, 'netAvg': 0, 'netQty': 0, 'side': 0, 'qty': 0, 'productType': 'INTRADAY', 'realized_profit': 118.49999999999966, 'crossCurrency': '', 'qtyMulti_com': 1, 'segment': 11, 'ltp': 357.8, 'fyToken': '101123081739016', 'exchange': 10, 'unrealized_profit': 0, 'dayBuyQty': 15, 'cfBuyQty': 0, 'daySellQty': 15, 'cfSellQty': 0, 'rbiRefRate': 1, 'pl': 118.49999999999966, 'slNo': 0, 'avgPrice': 0}], 'overall': {'count_open': 0, 'count_total': 1, 'pl_realized': 118.49999999999966, 'pl_total': 118.49999999999966, 'pl_unrealized': 0}}

1691986024827 :: holdings :: None :: 1691986025080 :: {'s': 'ok', 'code': 200, 'message': '', 'holdings': [], 'overall': {'count_total': 0, 'pnl_perc': 0, 'total_current_value': 0, 'total_investment': 0, 'total_pl': 0}}

1691986059001 :: holdings :: None :: 1691986059188 :: {'s': 'ok', 'code': 200, 'message': '', 'holdings': [], 'overall': {'count_total': 0, 'pnl_perc': 0, 'total_current_value': 0, 'total_investment': 0, 'total_pl': 0}}

1691986079243 :: holdings :: None :: 1691986079449 :: {'s': 'ok', 'code': 200, 'message': '', 'holdings': [], 'overall': {'count_total': 0, 'pnl_perc': 0, 'total_current_value': 0, 'total_investment': 0, 'total_pl': 0}}

1691986085559 :: holdings :: None :: 1691986085853 :: {'s': 'ok', 'code': 200, 'message': '', 'holdings': [], 'overall': {'count_total': 0, 'pnl_perc': 0, 'total_current_value': 0, 'total_investment': 0, 'total_pl': 0}}

1691986095056 :: holdings :: None :: 1691986095246 :: {'s': 'ok', 'code': 200, 'message': '', 'holdings': [], 'overall': {'count_total': 0, 'pnl_perc': 0, 'total_current_value': 0, 'total_investment': 0, 'total_pl': 0}}

1691986259248 :: holdings :: None :: 1691986259506 :: {'s': 'ok', 'code': 200, 'message': '', 'holdings': [], 'overall': {'count_total': 0, 'pnl_perc': 0, 'total_current_value': 0, 'total_investment': 0, 'total_pl': 0}}

1691986467404 :: holdings :: None :: 1691986467695 :: {'s': 'ok', 'code': 200, 'message': '', 'holdings': [], 'overall': {'count_total': 0, 'pnl_perc': 0, 'total_current_value': 0, 'total_investment': 0, 'total_pl': 0}}

1691986717452 :: holdings :: None :: 1691986717726 :: {'s': 'ok', 'code': 200, 'message': '', 'holdings': [], 'overall': {'count_total': 0, 'pnl_perc': 0, 'total_current_value': 0, 'total_investment': 0, 'total_pl': 0}}

1691986767108 :: holdings :: None :: 1691986767294 :: {'s': 'ok', 'code': 200, 'message': '', 'holdings': [], 'overall': {'count_total': 0, 'pnl_perc': 0, 'total_current_value': 0, 'total_investment': 0, 'total_pl': 0}}

1691986788534 :: holdings :: None :: 1691986788776 :: {'s': 'ok', 'code': 200, 'message': '', 'holdings': [], 'overall': {'count_total': 0, 'pnl_perc': 0, 'total_current_value': 0, 'total_investment': 0, 'total_pl': 0}}

1691986804970 :: holdings :: None :: 1691986805196 :: {'s': 'ok', 'code': 200, 'message': '', 'holdings': [], 'overall': {'count_total': 0, 'pnl_perc': 0, 'total_current_value': 0, 'total_investment': 0, 'total_pl': 0}}

1691986815239 :: holdings :: None :: 1691986815437 :: {'s': 'ok', 'code': 200, 'message': '', 'holdings': [], 'overall': {'count_total': 0, 'pnl_perc': 0, 'total_current_value': 0, 'total_investment': 0, 'total_pl': 0}}

1691986833457 :: holdings :: None :: 1691986833704 :: {'s': 'ok', 'code': 200, 'message': '', 'holdings': [], 'overall': {'count_total': 0, 'pnl_perc': 0, 'total_current_value': 0, 'total_investment': 0, 'total_pl': 0}}

1691986841202 :: holdings :: None :: 1691986841434 :: {'s': 'ok', 'code': 200, 'message': '', 'holdings': [], 'overall': {'count_total': 0, 'pnl_perc': 0, 'total_current_value': 0, 'total_investment': 0, 'total_pl': 0}}

1691986906891 :: holdings :: None :: 1691986907138 :: {'s': 'ok', 'code': 200, 'message': '', 'holdings': [], 'overall': {'count_total': 0, 'pnl_perc': 0, 'total_current_value': 0, 'total_investment': 0, 'total_pl': 0}}

